Time,Speed,Label
0.020005001,3e-05,0
0.040010003,0.120060015,0
0.060015004,0.240090023,0
0.080020005,0.36012003,0
0.100025006,0.480150038,0
0.120030008,0.600180045,0
0.140035009,0.720210053,0
0.16004001,0.84024006,0
0.180045011,0.960270068,0
0.200050013,1.080300075,0
0.220055014,1.200330083,0
0.240060015,1.32036009,0
0.260065016,1.440390098,0
0.280070018,1.560420105,0
0.300075019,1.680450113,0
0.32008002,1.80048012,0
0.340085021,1.920510128,0
0.360090023,2.040540135,0
0.380095024,2.160570143,0
0.400100025,2.28060015,0
0.420105026,2.400630158,0
0.440110028,2.520660165,0
0.460115029,2.640690173,0
0.48012003,2.76072018,0
0.500125031,2.880750188,0
0.520130033,3.000780195,0
0.540135034,3.120810203,0
0.560140035,3.240700175,0
0.580145036,3.340725181,0
0.600150038,3.440750188,0
0.620155039,3.540775194,0
0.64016004,3.6408002,0
0.660165041,3.740825206,0
0.680170043,3.840850213,0
0.700175044,3.940875219,0
0.720180045,4.040900225,0
0.740185046,4.140925231,0
0.760190048,4.240950238,0
0.780195049,4.340975244,0
0.80020005,4.44100025,0
0.820205051,4.541025256,0
0.840210053,4.641050263,0
0.860215054,4.741075269,0
0.880220055,4.841100275,0
0.900225056,4.941125281,0
0.920230058,5.041150288,0
0.940235059,5.141165891,0
0.96024006,5.240366692,0
0.980245061,5.337566688,0
1.000250063,5.432782192,0
1.020255064,5.526053229,0
1.040260065,5.6174195,0
1.060265066,5.706919903,0
1.080270068,5.794592542,0
1.100275069,5.880474743,0
1.12028007,5.964603071,0
1.140285071,6.047013344,0
1.160290073,6.127695935,0
1.180295074,6.203714939,0
1.200300075,6.279733166,0
1.220305076,6.355677099,0
1.240310078,6.430100287,0
1.260315079,6.503004233,0
1.28032008,6.574419357,0
1.300325081,6.644376053,0
1.320330083,6.712904104,0
1.340335084,6.780032685,0
1.360340085,6.845790377,0
1.380345086,6.910205175,0
1.400350088,6.973304503,0
1.420355089,7.035115227,0
1.44036009,7.095663661,0
1.460365091,7.154975584,0
1.480370093,7.213076249,0
1.500375094,7.26999039,0
1.520380095,7.325742239,0
1.540385096,7.380355532,0
1.560390098,7.433853521,0
1.580395099,7.486258981,0
1.6004001,7.537594226,0
1.620405101,7.587881109,0
1.640410103,7.637141042,0
1.660415104,7.685394996,0
1.680420105,7.732663514,0
1.700425106,7.778966722,0
1.720430108,7.824324333,0
1.740435109,7.868755658,0
1.76044011,7.912279612,0
1.780445111,7.954914727,0
1.800450113,7.996679155,0
1.820455114,8.037590675,0
1.840460115,8.077666706,0
1.860465116,8.116924311,0
1.880470118,8.155380202,0
1.900475119,8.193050754,0
1.92048012,8.229952003,0
1.940485121,8.26609966,0
1.960490123,8.301509115,0
1.980495124,8.336195443,0
2.000500125,8.370173413,0
2.020505126,8.403457489,0
2.040510128,8.436061843,0
2.060515129,8.468000356,0
2.08052013,8.499286625,0
2.100525131,8.529933971,0
2.120530133,8.559955442,0
2.140535134,8.589363818,0
2.160540135,8.618171621,0
2.180545136,8.646391115,0
2.200550138,8.674034315,0
2.220555139,8.701112989,0
2.24056014,8.727638667,0
2.260565141,8.753622642,0
2.280570143,8.779075976,0
2.300575144,8.804009505,0
2.320580145,8.828433846,0
2.340585146,8.852359396,0
2.360590148,8.875796343,0
2.380595149,8.898754663,0
2.40060015,8.921244133,0
2.420605151,8.943274325,0
2.440610153,8.964854621,0
2.460615154,8.985994206,0
2.480620155,9.006702083,0
2.500625156,9.026987066,0
2.520630158,9.046857792,0
2.540635159,9.066322721,0
2.56064016,9.085390141,0
2.580645161,9.104068168,0
2.600650163,9.122364756,0
2.620655164,9.140287693,0
2.640660165,9.157844611,0
2.660665166,9.175042984,0
2.680670168,9.191890134,0
2.700675169,9.208393234,0
2.72068017,9.224559311,0
2.740685171,9.240395246,0
2.760690173,9.255907782,0
2.780695174,9.271103524,0
2.800700175,9.28598894,0
2.820705176,9.300570369,0
2.840710178,9.314854017,0
2.860715179,9.328845968,0
2.88072018,9.342552176,0
2.900725181,9.355978479,0
2.920730183,9.369130591,0
2.940735184,9.382014114,0
2.960740185,9.39463453,0
2.980745186,9.406997215,0
3.000750188,9.41910743,0
3.020755189,9.430970333,0
3.04076019,9.442590973,0
3.060765191,9.453974298,0
3.080770193,9.465125155,0
3.100775194,9.47604829,0
3.120780195,9.486748355,0
3.140785196,9.497229904,0
3.160790198,9.507497401,0
3.180795199,9.517555217,0
3.2008002,9.527407633,0
3.220805201,9.537058845,0
3.240810203,9.546512961,0
3.260815204,9.555774007,0
3.280820205,9.564845925,0
3.300825206,9.573732578,0
3.320830208,9.582437748,0
3.340835209,9.590965143,0
3.36084021,9.599318393,0
3.380845211,9.607501054,0
3.400850213,9.61551661,0
3.420855214,9.623368473,0
3.440860215,9.631059987,0
3.460865216,9.638594426,0
3.480870218,9.645974998,0
3.500875219,9.653204844,0
3.52088022,9.660287044,0
3.540885221,9.667224612,0
3.560890223,9.674020502,0
3.580895224,9.680677608,0
3.600900225,9.687198763,0
3.620905226,9.693586744,0
3.640910228,9.699844271,0
3.660915229,9.705974007,0
3.68092023,9.711978563,0
3.700925231,9.717860494,0
3.720930233,9.723622306,0
3.740935234,9.729266451,0
3.760940235,9.734795332,0
3.780945236,9.740211303,0
3.800950238,9.74551667,0
3.820955239,9.750713691,0
3.84096024,9.75580458,0
3.860965241,9.760791503,0
3.880970243,9.765676584,0
3.900975244,9.770461902,0
3.920980245,9.775149496,0
3.940985246,9.77974136,0
3.960990248,9.78423945,0
3.980995249,9.78864568,0
4.00100025,9.792961927,0
4.021005251,9.797190029,0
4.041010253,9.801331784,0
4.061015254,9.805388957,0
4.081020255,9.809363276,0
4.101025256,9.813256431,0
4.121030258,9.817070081,0
4.141035259,9.820805849,0
4.16104026,9.824465326,0
4.181045261,9.82805007,0
4.201050263,9.831561606,0
4.221055264,9.83500143,0
4.241060265,9.838371007,0
4.261065266,9.841671771,0
4.281070268,9.844905127,0
4.301075269,9.848072452,0
4.32108027,9.851175094,0
4.341085271,9.854214375,0
4.361090273,9.857191587,0
4.381095274,9.860108,0
4.401100275,9.862964854,0
4.421105276,9.865763366,0
4.441110278,9.868504727,0
4.461115279,9.871190104,0
4.48112028,9.873820641,0
4.501125281,9.876397458,0
4.521130283,9.878921651,0
4.541135284,9.881394295,0
4.561140285,9.883816444,0
4.581145286,9.886189128,0
4.601150288,9.888513357,0
4.621155289,9.890790121,0
4.64116029,9.893020389,0
4.661165291,9.895205111,0
4.681170293,9.897345217,0
4.701175294,9.899441618,0
4.721180295,9.901495207,0
4.741185296,9.903506858,0
4.761190298,9.905477426,0
4.781195299,9.907407753,0
4.8012003,9.909298658,0
4.821205301,9.911150948,0
4.841210303,9.91296541,0
4.861215304,9.914742818,0
4.881220305,9.916483928,0
4.901225306,9.918189481,0
4.921230308,9.919860204,0
4.941235309,9.921496807,0
4.96124031,9.923099988,0
4.981245311,9.924670429,0
5.001250313,9.926208798,2
5.021255314,9.927715752,2
5.041260315,9.92919193,2
5.061265316,9.930637962,2
5.081270318,9.932054464,2
5.101275319,9.933442038,2
5.12128032,9.934801275,2
5.141285321,9.936132754,2
5.161290323,9.937437041,2
5.181295324,9.938714693,2
5.201300325,9.939966253,2
5.221305326,9.941192253,2
5.241310328,9.942393217,2
5.261315329,9.943569654,2
5.28132033,9.944722066,2
5.301325331,9.945850944,2
5.321330333,9.946956769,2
5.341335334,9.94804001,2
5.361340335,9.949101129,2
5.381345336,9.950140579,2
5.401350338,9.9511588,2
5.421355339,9.952156228,2
5.44136034,9.953133287,2
5.461365341,9.954090392,2
5.481370343,9.955027952,2
5.501375344,9.955946364,2
5.521380345,9.956846021,2
5.541385346,9.957727306,2
5.561390348,9.958590593,2
5.581395349,9.95943625,2
5.60140035,9.960264637,2
5.621405351,9.961076106,2
5.641410353,9.961871005,2
5.661415354,9.962649669,2
5.681420355,9.963412433,2
5.701425356,9.964159619,2
5.721430358,9.964891546,2
5.741435359,9.965608526,2
5.76144036,9.966310863,2
5.781445361,9.966998858,2
5.801450363,9.967672803,2
5.821455364,9.968332984,2
5.841460365,9.968979683,2
5.861465366,9.969613176,2
5.881470368,9.970233731,2
5.901475369,9.970841613,2
5.92148037,9.971437082,2
5.941485371,9.97202039,2
5.961490373,9.972591785,2
5.981495374,9.973151512,2
6.001500375,9.973699808,2
6.021505376,9.974236907,2
6.041510378,9.974763037,2
6.061515379,9.975278422,2
6.08152038,9.975783283,2
6.101525381,9.976277833,2
6.121530383,9.976762284,2
6.141535384,9.977236841,2
6.161540385,9.977701707,2
6.181545386,9.97815708,2
6.201550388,9.978603153,2
6.221555389,9.979040116,2
6.24156039,9.979468156,2
6.261565391,9.979887454,2
6.281570393,9.98029819,2
6.301575394,9.980700537,2
6.321580395,9.981094668,2
6.341585396,9.98148075,2
6.361590398,9.981858948,2
6.381595399,9.982229422,2
6.4016004,9.98259233,2
6.421605401,9.982947827,2
6.441610403,9.983296064,2
6.461615404,9.983637189,2
6.481620405,9.983971348,2
6.501625406,9.984298683,2
6.521630408,9.984619333,2
6.541635409,9.984933435,2
6.56164041,9.985241122,2
6.581645411,9.985542526,2
6.601650413,9.985837774,2
6.621655414,9.986126993,2
6.641660415,9.986410306,2
6.661665416,9.986687833,2
6.681670418,9.986959692,2
6.701675419,9.987225999,2
6.72168042,9.987486868,2
6.741685421,9.987742409,2
6.761690423,9.987992732,2
6.781695424,9.988237943,2
6.801700425,9.988478146,2
6.821705426,9.988713444,2
6.841710428,9.988943936,2
6.861715429,9.989169721,2
6.88172043,9.989390896,2
6.901725431,9.989607553,2
6.921730433,9.989819786,2
6.941735434,9.990027685,2
6.961740435,9.990231339,2
6.981745436,9.990430833,2
7.001750438,9.990626253,2
7.021755439,9.990817682,2
7.04176044,9.991005202,2
7.061765441,9.991188893,2
7.081770443,9.991368832,2
7.101775444,9.991545096,2
7.121780445,9.991717761,2
7.141785446,9.9918869,2
7.161790448,9.992052585,2
7.181795449,9.992214886,2
7.20180045,9.992373872,2
7.221805451,9.992529612,2
7.241810453,9.992682171,2
7.261815454,9.992831615,2
7.281820455,9.992978006,2
7.301825456,9.993121409,2
7.321830458,9.993261882,2
7.341835459,9.993399487,2
7.36184046,9.993534282,2
7.381845461,9.993666324,2
7.401850463,9.993795669,2
7.421855464,9.993922373,2
7.441860465,9.99404649,2
7.461865466,9.994168071,2
7.481870468,9.99428717,2
7.501875469,9.994403837,2
7.52188047,9.994518121,2
7.541885471,9.994630071,2
7.561890473,9.994739735,2
7.581895474,9.994847159,2
7.601900475,9.99495239,2
7.621905476,9.995055471,2
7.641910478,9.995156448,2
7.661915479,9.995255362,2
7.68192048,9.995352257,2
7.701925481,9.995447172,2
7.721930483,9.995540149,2
7.741935484,9.995631228,2
7.761940485,9.995720446,2
7.781945486,9.995807843,2
7.801950488,9.995893454,2
7.821955489,9.995977318,2
7.84196049,9.996059468,2
7.861965491,9.996139941,2
7.881970493,9.996218771,2
7.901975494,9.996295991,2
7.921980495,9.996371633,2
7.941985496,9.996445731,2
7.961990498,9.996518316,2
7.981995499,9.996589419,2
8.0020005,9.996659069,2
8.022005501,9.996727297,2
8.042010503,9.996794132,2
8.062015504,9.996859601,2
8.082020505,9.996923734,2
8.102025506,9.996986557,2
8.122030508,9.997048097,2
8.142035509,9.997108381,2
8.16204051,9.997167433,2
8.182045511,9.997225279,2
8.202050513,9.997281944,2
8.222055514,9.997337452,2
8.242060515,9.997391826,2
8.262065516,9.99744509,2
8.282070518,9.997497266,2
8.302075519,9.997548376,2
